DATE,DTWEXBGS
2011-08-30,87.022
2011-08-31,86.7949
2011-09-01,86.8717
2011-09-02,87.2003
2011-09-05,.
2011-09-06,88.182
2011-09-07,87.988
2011-09-08,88.1339
2011-09-09,88.9672
2011-09-12,89.2351
2011-09-13,89.2826
2011-09-14,89.4358
2011-09-15,89.0823
2011-09-16,89.1278
2011-09-19,89.9498
2011-09-20,89.8938
2011-09-21,90.361
2011-09-22,92.0876
2011-09-23,91.7042
2011-09-26,91.7866
2011-09-27,90.9135
2011-09-28,91.037
2011-09-29,91.3177
2011-09-30,92.0127
2011-10-03,92.5239
2011-10-04,92.9603
2011-10-05,92.3109
2011-10-06,91.9768
2011-10-07,91.2587
2011-10-10,.
2011-10-11,90.9297
2011-10-12,90.3529
2011-10-13,90.6754
2011-10-14,90.228
2011-10-17,90.2814
2011-10-18,90.6059
2011-10-19,90.3477
2011-10-20,91.1189
2011-10-21,90.2974
2011-10-24,89.875
2011-10-25,89.9711
2011-10-26,90.1012
2011-10-27,88.809
2011-10-28,88.6585
2011-10-31,89.2243
2011-11-01,90.747
2011-11-02,90.2613
2011-11-03,90.313
2011-11-04,90.3324
2011-11-07,90.3997
2011-11-08,90.1892
2011-11-09,90.7151
2011-11-10,90.8748
2011-11-11,.
2011-11-14,90.738
2011-11-15,91.1234
2011-11-16,91.1387
2011-11-17,91.1977
2011-11-18,91.3834
2011-11-21,92.0138
2011-11-22,92.0353
2011-11-23,92.7604
2011-11-24,.
2011-11-25,93.1595
2011-11-28,92.5133
2011-11-29,92.2315
2011-11-30,91.489
2011-12-01,91.2425
2011-12-02,91.3671
2011-12-05,91.1241
2011-12-06,91.2963
2011-12-07,91.2485
2011-12-08,91.683
2011-12-09,91.6273
2011-12-12,92.352
2011-12-13,92.5596
2011-12-14,93.2305
2011-12-15,92.8995
2011-12-16,92.838
2011-12-19,92.8806
2011-12-20,92.4457
2011-12-21,92.5394
2011-12-22,92.4019
2011-12-23,92.4033
2011-12-26,.
2011-12-27,92.4279
2011-12-28,92.8501
